incident_severity,umbrella_limit,witnesses,vehicle_claim,incident_city,total_claim_amount,insured_hobbies,authorities_contacted,property_claim,incident_state,policy_state,bodily_injuries,policy_csl,insured_sex,injury_claim,auto_make,number_of_vehicles_involved,police_report_available,incident_type,insured_relationship,fraud_reported
Major Damage,8000000,2,52220,Riverwood,67140,reading,Police,7460,WV,IL,2,100/300,MALE,7460,Ford,3,NO,Multi-vehicle Collision,husband,Y
Total Loss,0,3,23170,Arlington,29790,yachting,Police,3310,NY,IL,2,500/1000,FEMALE,3310,BMW,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,2,49070,Hillsdale,77110,video-games,Ambulance,14020,NY,IL,1,100/300,MALE,14020,Suburu,3,NO,Multi-vehicle Collision,wife,N
Total Loss,0,1,48600,Hillsdale,64800,yachting,Fire,5400,WV,IL,0,500/1000,MALE,10800,Audi,1,YES,Single Vehicle Collision,own-child,N
Major Damage,6000000,0,37170,Springfield,53100,reading,Other,5310,WV,OH,2,100/300,MALE,10620,Mercedes,1,YES,Single Vehicle Collision,not-in-family,Y
Total Loss,0,1,48160,Northbrook,60200,camping,Police,6020,NY,IL,1,100/300,FEMALE,6020,Suburu,1,YES,Single Vehicle Collision,unmarried,Y
Minor Damage,0,1,3280,Arlington,5330,golf,,820,WV,IL,1,500/1000,FEMALE,1230,Suburu,1,YES,Parked Car,unmarried,N
Major Damage,0,0,43610,Hillsdale,62300,bungie-jumping,Police,6230,NY,IN,2,500/1000,FEMALE,12460,Jeep,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,0,3,38290,Columbus,60170,video-games,Ambulance,10940,NC,IN,0,250/500,MALE,10940,Nissan,1,NO,Single Vehicle Collision,wife,Y
Minor Damage,0,2,28000,Columbus,40000,kayaking,Ambulance,4000,WV,IL,2,100/300,MALE,8000,BMW,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,1,64720,Northbrook,97080,chess,Police,16180,WV,IN,1,250/500,MALE,16180,BMW,1,NO,Single Vehicle Collision,unmarried,Y
Minor Damage,0,0,40180,Springfield,51660,hiking,Other,5740,SC,IL,1,500/1000,FEMALE,5740,Dodge,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,2,39760,Arlington,51120,reading,Other,5680,NC,OH,2,250/500,FEMALE,5680,Mercedes,1,NO,Single Vehicle Collision,own-child,N
Minor Damage,0,2,33840,Springfield,56400,reading,Other,11280,SC,IL,0,100/300,MALE,11280,Toyota,1,NO,Single Vehicle Collision,unmarried,N
Total Loss,0,3,48230,Arlington,55120,yachting,Other,0,NY,IL,2,250/500,FEMALE,6890,Accura,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,1,63090,Northbend,77110,polo,Fire,14020,NC,IN,1,100/300,FEMALE,0,Honda,3,NO,Multi-vehicle Collision,husband,N
Major Damage,4000000,1,50240,Arlington,62800,kayaking,Fire,6280,WV,OH,2,500/1000,MALE,6280,Audi,3,NO,Multi-vehicle Collision,husband,Y
Trivial Damage,8000000,0,5670,Arlington,7290,dancing,Police,810,NY,IN,2,500/1000,FEMALE,810,Volkswagen,1,YES,Vehicle Theft,other-relative,N
Total Loss,0,0,53620,Springfield,76600,movies,Other,7660,WV,IL,0,100/300,FEMALE,15320,Mercedes,1,NO,Single Vehicle Collision,wife,N
Minor Damage,7000000,3,57260,Riverwood,81800,bungie-jumping,Fire,8180,NY,OH,0,250/500,MALE,16360,Nissan,3,YES,Multi-vehicle Collision,own-child,N
Trivial Damage,0,2,5280,Arlington,7260,polo,,660,NY,IL,1,100/300,FEMALE,1320,BMW,1,NO,Vehicle Theft,husband,N
Minor Damage,0,1,3440,Northbend,4300,basketball,,430,WV,IN,2,100/300,MALE,430,Toyota,1,YES,Vehicle Theft,not-in-family,N
Major Damage,0,0,44870,Columbus,70510,movies,Police,12820,NC,IN,1,100/300,FEMALE,12820,Suburu,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,1,1680,Northbend,2640,movies,Police,480,VA,OH,0,250/500,MALE,480,Ford,1,YES,Parked Car,not-in-family,N
Minor Damage,0,2,55230,Arlington,78900,skydiving,Fire,7890,NY,OH,1,100/300,MALE,15780,Chevrolet,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,3,50160,Columbus,56430,chess,Fire,6270,SC,IN,2,250/500,FEMALE,0,Honda,3,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,3,1800,Riverwood,2400,hiking,,300,VA,IN,1,500/1000,FEMALE,300,Chevrolet,1,NO,Parked Car,own-child,N
Total Loss,0,1,51170,Riverwood,65790,yachting,Ambulance,7310,WV,IL,0,250/500,MALE,7310,Saab,1,NO,Single Vehicle Collision,husband,N
Minor Damage,0,1,45760,Hillsdale,62920,kayaking,Police,5720,VA,OH,1,250/500,FEMALE,11440,Ford,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,1,54040,Springfield,69480,base-jumping,Police,0,NY,IN,2,100/300,MALE,15440,Nissan,3,NO,Multi-vehicle Collision,other-relative,Y
Total Loss,0,3,33210,Springfield,44280,basketball,Other,3690,OH,IL,0,500/1000,MALE,7380,Honda,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,3,39410,Hillsdale,56300,bungie-jumping,Other,11260,WV,IL,0,500/1000,MALE,5630,BMW,1,YES,Single Vehicle Collision,unmarried,N
Major Damage,0,2,51390,Northbend,68520,video-games,Fire,5710,WV,OH,2,500/1000,MALE,11420,Suburu,3,YES,Multi-vehicle Collision,own-child,Y
Total Loss,5000000,0,45990,Riverwood,59130,chess,Fire,6570,VA,OH,0,250/500,MALE,6570,Ford,3,NO,Multi-vehicle Collision,not-in-family,Y
Minor Damage,0,2,61740,Arlington,82320,chess,Ambulance,6860,NY,IN,2,100/300,FEMALE,13720,Dodge,3,NO,Multi-vehicle Collision,other-relative,Y
Minor Damage,7000000,1,62100,Springfield,89700,paintball,Fire,13800,SC,IN,0,250/500,FEMALE,13800,Audi,1,NO,Single Vehicle Collision,not-in-family,Y
Minor Damage,0,1,30160,Hillsdale,33930,reading,Fire,3770,WV,OH,1,250/500,FEMALE,0,BMW,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,0,3,49840,Northbrook,68530,movies,Ambulance,6230,WV,OH,0,100/300,MALE,12460,Audi,1,NO,Single Vehicle Collision,own-child,N
Minor Damage,0,1,2580,Riverwood,4300,kayaking,,860,NC,IN,0,500/1000,MALE,860,Ford,1,NO,Parked Car,own-child,N
Major Damage,0,3,49680,Hillsdale,68310,sleeping,Other,6210,SC,OH,2,100/300,FEMALE,12420,Audi,2,NO,Multi-vehicle Collision,own-child,Y
Total Loss,0,2,47670,Northbrook,61290,cross-fit,Other,6810,WV,OH,0,100/300,FEMALE,6810,Honda,1,NO,Single Vehicle Collision,not-in-family,Y
Minor Damage,0,2,27090,Arlington,30100,paintball,Ambulance,0,NC,OH,1,250/500,FEMALE,3010,Chevrolet,1,NO,Single Vehicle Collision,husband,N
Minor Damage,0,0,42840,Riverwood,57120,golf,Fire,4760,SC,IN,2,100/300,FEMALE,9520,Mercedes,3,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,0,28620,Springfield,42930,yachting,Ambulance,4770,VA,IL,1,100/300,FEMALE,9540,BMW,3,YES,Multi-vehicle Collision,wife,N
Total Loss,0,0,34140,Riverwood,51210,bungie-jumping,Ambulance,5690,SC,OH,2,100/300,FEMALE,11380,Ford,3,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,0,1,67050,Springfield,89400,golf,Fire,7450,NY,OH,1,500/1000,FEMALE,14900,Suburu,3,YES,Multi-vehicle Collision,husband,N
Total Loss,0,2,38010,Northbrook,59730,dancing,Police,10860,WV,IN,0,250/500,MALE,10860,Audi,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,6000000,2,5580,Springfield,8060,kayaking,,1240,SC,OH,2,500/1000,FEMALE,1240,Saab,1,YES,Vehicle Theft,wife,N
Major Damage,0,2,50540,Northbrook,72200,polo,Fire,7220,SC,OH,1,500/1000,FEMALE,14440,BMW,1,NO,Single Vehicle Collision,unmarried,Y
Minor Damage,0,2,30480,Arlington,50800,paintball,Ambulance,10160,NC,OH,1,250/500,MALE,10160,Accura,3,NO,Multi-vehicle Collision,husband,N
Trivial Damage,5000000,1,4620,Northbrook,6600,video-games,,1320,NC,OH,2,500/1000,FEMALE,660,Accura,1,NO,Vehicle Theft,wife,N
Minor Damage,6000000,2,5250,Northbrook,7500,bungie-jumping,Police,1500,NY,IL,2,250/500,MALE,750,Nissan,1,NO,Vehicle Theft,other-relative,N
Trivial Damage,0,3,4130,Hillsdale,6490,video-games,,1180,VA,IN,0,250/500,MALE,1180,Volkswagen,1,YES,Vehicle Theft,wife,N
Major Damage,0,3,44320,Hillsdale,60940,movies,Ambulance,11080,NY,IN,2,500/1000,MALE,5540,Audi,2,NO,Multi-vehicle Collision,not-in-family,Y
Major Damage,0,1,40810,Northbrook,58300,board-games,Fire,11660,NY,OH,0,100/300,MALE,5830,Suburu,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,4000000,1,45600,Columbus,68400,yachting,Other,11400,SC,IL,2,500/1000,FEMALE,11400,Ford,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,1,40880,Springfield,64240,yachting,Fire,11680,VA,IL,2,500/1000,FEMALE,11680,BMW,1,YES,Single Vehicle Collision,own-child,N
Trivial Damage,9000000,1,3290,Arlington,4700,kayaking,,470,WV,IL,0,500/1000,FEMALE,940,Dodge,1,YES,Parked Car,not-in-family,N
Major Damage,0,0,39480,Columbus,45120,exercise,Other,5640,SC,IN,2,100/300,FEMALE,0,Accura,3,NO,Multi-vehicle Collision,not-in-family,Y
Total Loss,5000000,1,46350,Arlington,66950,board-games,Fire,10300,SC,OH,1,250/500,FEMALE,10300,Saab,2,NO,Multi-vehicle Collision,own-child,N
Major Damage,4000000,3,71520,Columbus,98340,exercise,Police,17880,NY,IL,0,250/500,FEMALE,8940,Honda,1,NO,Single Vehicle Collision,own-child,Y
Trivial Damage,0,1,4720,Springfield,5900,yachting,,590,WV,IL,0,250/500,MALE,590,BMW,1,NO,Parked Car,own-child,N
Major Damage,0,1,53010,Riverwood,70680,exercise,Ambulance,11780,NC,IN,1,100/300,FEMALE,5890,Ford,3,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,0,0,68160,Northbend,93720,hiking,Ambulance,8520,SC,IL,1,100/300,FEMALE,17040,Mercedes,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,5000000,0,5040,Northbrook,6930,exercise,,630,OH,IL,2,100/300,FEMALE,1260,Toyota,1,YES,Vehicle Theft,husband,N
Major Damage,0,3,59670,Springfield,72930,hiking,Fire,6630,VA,IN,0,500/1000,FEMALE,6630,Dodge,1,NO,Single Vehicle Collision,not-in-family,Y
Minor Damage,0,2,50470,Hillsdale,64890,skydiving,Other,7210,SC,IL,1,250/500,MALE,7210,Nissan,4,YES,Multi-vehicle Collision,own-child,Y
Trivial Damage,0,2,3600,Columbus,5400,kayaking,,900,WV,OH,1,250/500,FEMALE,900,Saab,1,YES,Parked Car,wife,N
Trivial Damage,0,0,4200,Northbrook,5600,reading,,700,NC,IL,0,100/300,MALE,700,Audi,1,NO,Vehicle Theft,not-in-family,N
Minor Damage,0,0,47580,Northbend,79300,yachting,Police,15860,SC,IN,0,100/300,FEMALE,15860,Saab,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,0,36960,Northbend,52800,exercise,Police,5280,WV,IL,1,100/300,FEMALE,10560,Saab,1,YES,Single Vehicle Collision,unmarried,N
Minor Damage,0,3,25200,Northbrook,28800,bungie-jumping,Fire,3600,NC,IL,2,250/500,FEMALE,0,Ford,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,1,2310,Northbend,2970,kayaking,Police,330,WV,OH,1,100/300,FEMALE,330,Toyota,1,NO,Parked Car,other-relative,N
Total Loss,0,0,70110,Northbend,93480,basketball,Police,7790,SC,OH,0,500/1000,MALE,15580,Chevrolet,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,3,3360,Columbus,4320,kayaking,,480,WV,IL,1,100/300,MALE,480,Mercedes,1,YES,Vehicle Theft,husband,N
Major Damage,0,2,53200,Northbend,79800,basketball,Police,19950,VA,OH,0,500/1000,FEMALE,6650,Saab,3,YES,Multi-vehicle Collision,husband,Y
Major Damage,0,0,51940,Columbus,74200,camping,Ambulance,14840,WV,IN,1,500/1000,FEMALE,7420,Volkswagen,2,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,0,48870,Northbrook,70590,basketball,Fire,10860,NY,IL,0,500/1000,FEMALE,10860,Saab,1,NO,Single Vehicle Collision,other-relative,Y
Major Damage,0,3,44320,Springfield,60940,chess,Fire,11080,NY,IN,0,500/1000,FEMALE,5540,Nissan,3,YES,Multi-vehicle Collision,husband,Y
Minor Damage,0,2,52290,Riverwood,74700,video-games,Police,14940,SC,OH,1,250/500,FEMALE,7470,Dodge,1,YES,Single Vehicle Collision,unmarried,N
Major Damage,6000000,0,49000,Springfield,70000,dancing,Fire,7000,NC,IN,0,100/300,MALE,14000,Ford,1,NO,Single Vehicle Collision,unmarried,Y
Total Loss,0,0,51590,Columbus,81070,polo,Other,14740,WV,IL,2,500/1000,MALE,14740,BMW,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,1,33670,Hillsdale,57720,camping,Other,9620,VA,IN,1,100/300,MALE,14430,Saab,2,NO,Multi-vehicle Collision,own-child,N
Minor Damage,0,1,4720,Northbrook,7080,reading,,1180,VA,OH,1,250/500,MALE,1180,Ford,1,YES,Vehicle Theft,other-relative,N
Total Loss,10000000,1,33390,Riverwood,47700,hiking,Other,9540,NY,IN,0,100/300,MALE,4770,Accura,3,NO,Multi-vehicle Collision,other-relative,Y
Minor Damage,0,3,32620,Hillsdale,51260,bungie-jumping,Police,9320,SC,IL,0,500/1000,FEMALE,9320,Suburu,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,2,51200,Northbend,70400,exercise,Police,12800,NY,OH,2,500/1000,MALE,6400,Toyota,3,NO,Multi-vehicle Collision,unmarried,Y
Minor Damage,0,3,63000,Hillsdale,90000,yachting,Fire,9000,NY,IL,1,250/500,FEMALE,18000,Ford,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,8000000,1,52960,Arlington,72820,camping,Police,6620,NY,OH,0,250/500,FEMALE,13240,BMW,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,4000000,0,41580,Hillsdale,69300,board-games,Fire,13860,SC,IL,2,500/1000,MALE,13860,Volkswagen,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,4000000,1,51040,Northbrook,76560,video-games,Ambulance,12760,NY,IL,2,500/1000,FEMALE,12760,Ford,1,NO,Single Vehicle Collision,other-relative,Y
Major Damage,0,1,49280,Columbus,55440,skydiving,Ambulance,6160,VA,IL,0,250/500,FEMALE,0,Nissan,1,YES,Single Vehicle Collision,not-in-family,Y
Total Loss,0,0,51420,Arlington,77130,movies,Other,17140,NC,OH,1,250/500,FEMALE,8570,Accura,4,NO,Multi-vehicle Collision,other-relative,N
Total Loss,0,1,28000,Northbend,42000,paintball,Ambulance,7000,WV,IL,1,100/300,FEMALE,7000,BMW,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,6000000,3,23100,Hillsdale,36300,dancing,Ambulance,9900,NY,IN,2,250/500,MALE,3300,Ford,3,YES,Multi-vehicle Collision,unmarried,N
Total Loss,0,0,28800,Columbus,40320,video-games,Other,5760,WV,IL,0,100/300,MALE,5760,Suburu,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,0,2970,Northbrook,3960,exercise,Police,660,PA,IN,2,500/1000,FEMALE,330,BMW,1,NO,Parked Car,own-child,N
Major Damage,0,3,42560,Northbend,63840,basketball,Fire,10640,NY,OH,0,100/300,MALE,10640,BMW,1,YES,Single Vehicle Collision,wife,Y
Major Damage,6000000,2,34790,Northbend,44730,sleeping,Fire,4970,SC,IL,1,250/500,FEMALE,4970,Saab,3,NO,Multi-vehicle Collision,husband,Y
Minor Damage,0,2,56480,Arlington,84720,camping,Other,14120,NY,IN,1,250/500,MALE,14120,Ford,3,NO,Multi-vehicle Collision,wife,N
Major Damage,0,2,43050,Columbus,61500,paintball,Other,12300,WV,IN,2,250/500,MALE,6150,Dodge,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,1,34000,Arlington,51000,exercise,Ambulance,8500,NC,OH,0,100/300,FEMALE,8500,Nissan,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,1,32760,Northbend,46800,skydiving,Police,9360,WV,IL,2,500/1000,FEMALE,4680,Jeep,1,NO,Single Vehicle Collision,wife,N
Minor Damage,0,1,52080,Northbend,78120,basketball,Ambulance,8680,WV,OH,1,250/500,MALE,17360,BMW,1,NO,Single Vehicle Collision,unmarried,N
Major Damage,0,2,48440,Springfield,69200,yachting,Police,6920,NY,IN,1,250/500,FEMALE,13840,Volkswagen,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,0,0,2870,Riverwood,3690,exercise,Police,410,VA,IL,0,100/300,FEMALE,410,Ford,1,NO,Vehicle Theft,other-relative,N
Minor Damage,0,3,52400,Springfield,65500,golf,Fire,6550,SC,IL,0,250/500,FEMALE,6550,BMW,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,2,55360,Springfield,76120,basketball,Fire,6920,NC,IL,1,500/1000,FEMALE,13840,Toyota,3,YES,Multi-vehicle Collision,wife,N
Total Loss,0,2,49040,Springfield,73560,hiking,Other,12260,VA,IL,0,250/500,FEMALE,12260,BMW,3,YES,Multi-vehicle Collision,not-in-family,N
Total Loss,0,1,37840,Northbend,52030,camping,Police,4730,NY,OH,0,100/300,MALE,9460,Mercedes,1,NO,Single Vehicle Collision,other-relative,N
Trivial Damage,0,3,3760,Northbrook,5170,video-games,,940,SC,IL,2,500/1000,MALE,470,Suburu,1,NO,Vehicle Theft,wife,N
Minor Damage,0,1,5040,Northbend,8190,video-games,,1260,SC,IN,2,250/500,MALE,1890,Chevrolet,1,YES,Parked Car,own-child,N
Major Damage,6000000,3,49560,Springfield,70800,yachting,Ambulance,14160,SC,IN,2,250/500,MALE,7080,Accura,1,NO,Single Vehicle Collision,other-relative,Y
Total Loss,0,3,35490,Springfield,45630,video-games,Police,5070,WV,IL,0,500/1000,FEMALE,5070,Accura,3,YES,Multi-vehicle Collision,wife,N
Major Damage,0,1,76400,Northbrook,99320,cross-fit,Police,15280,NC,OH,2,100/300,FEMALE,7640,Accura,1,NO,Single Vehicle Collision,wife,Y
Major Damage,4000000,0,44800,Northbend,64000,polo,Fire,6400,NC,IL,2,500/1000,MALE,12800,BMW,3,NO,Multi-vehicle Collision,not-in-family,Y
Minor Damage,0,1,37840,Northbrook,47300,golf,Fire,4730,WV,OH,1,100/300,FEMALE,4730,Nissan,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,3,53760,Springfield,71680,reading,Other,8960,SC,IL,2,100/300,MALE,8960,Volkswagen,1,NO,Single Vehicle Collision,not-in-family,Y
Major Damage,0,0,77760,Springfield,112320,skydiving,Other,17280,SC,OH,1,250/500,FEMALE,17280,Suburu,1,YES,Single Vehicle Collision,not-in-family,Y
Total Loss,0,0,60160,Columbus,82720,base-jumping,Other,15040,NY,OH,1,100/300,FEMALE,7520,Audi,1,NO,Single Vehicle Collision,wife,N
Major Damage,0,1,32040,Hillsdale,48060,polo,Fire,5340,NC,IL,2,100/300,MALE,10680,Mercedes,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,3,44010,Riverwood,63570,kayaking,Police,9780,NY,IN,1,250/500,MALE,9780,Volkswagen,3,YES,Multi-vehicle Collision,own-child,Y
Total Loss,0,3,42160,Columbus,63240,paintball,Fire,10540,WV,OH,2,100/300,FEMALE,10540,Suburu,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,7000000,3,36160,Northbrook,54240,reading,Ambulance,9040,NC,OH,1,100/300,FEMALE,9040,Saab,3,NO,Multi-vehicle Collision,own-child,Y
Major Damage,0,3,37280,Riverwood,37280,bungie-jumping,Police,0,NY,OH,2,100/300,MALE,0,Audi,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,0,1,50470,Columbus,72100,exercise,Police,14420,NY,OH,2,100/300,MALE,7210,Jeep,3,YES,Multi-vehicle Collision,husband,N
Minor Damage,7000000,3,4550,Northbend,6500,hiking,,650,WV,IN,2,250/500,FEMALE,1300,Saab,1,NO,Parked Car,other-relative,N
Total Loss,0,0,52160,Springfield,78240,movies,Ambulance,13040,WV,IN,2,100/300,MALE,13040,Suburu,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,0,4340,Columbus,6200,video-games,Police,620,NY,OH,2,100/300,FEMALE,1240,Honda,1,NO,Vehicle Theft,other-relative,N
Minor Damage,0,3,3920,Springfield,6160,reading,Police,1680,VA,IN,2,500/1000,FEMALE,560,Mercedes,1,NO,Parked Car,unmarried,N
Total Loss,7000000,0,52650,Northbrook,76050,dancing,Ambulance,11700,SC,IN,2,500/1000,FEMALE,11700,Chevrolet,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,1,59580,Hillsdale,86060,polo,Ambulance,13240,NY,OH,2,500/1000,FEMALE,13240,Volkswagen,2,YES,Multi-vehicle Collision,unmarried,N
Major Damage,0,0,75530,Arlington,107900,sleeping,Fire,21580,SC,OH,2,500/1000,FEMALE,10790,Dodge,1,NO,Single Vehicle Collision,not-in-family,Y
Total Loss,0,0,63630,Columbus,99990,polo,Fire,18180,PA,IL,2,250/500,FEMALE,18180,Mercedes,3,YES,Multi-vehicle Collision,unmarried,N
Minor Damage,0,2,44640,Columbus,61380,bungie-jumping,Ambulance,5580,WV,IN,2,500/1000,FEMALE,11160,Suburu,3,YES,Multi-vehicle Collision,not-in-family,N
Major Damage,0,1,45360,Riverwood,71280,board-games,Fire,12960,WV,OH,2,250/500,FEMALE,12960,Audi,1,YES,Single Vehicle Collision,unmarried,Y
Minor Damage,0,0,44800,Northbend,64000,yachting,Ambulance,6400,NY,IL,0,500/1000,MALE,12800,Saab,3,NO,Multi-vehicle Collision,unmarried,N
Trivial Damage,0,1,4620,Hillsdale,5940,bungie-jumping,Police,660,SC,IL,0,250/500,FEMALE,660,Toyota,1,NO,Parked Car,husband,N
Minor Damage,0,0,5360,Hillsdale,6700,movies,,670,NY,IN,1,250/500,MALE,670,Jeep,1,NO,Parked Car,not-in-family,N
